page	preview_corto
52	- El total de retenciones por pensiones públicas fue de 14.317 millones procedentes de una
52	- De esas personas, 6,3 millones (64% del total) presentaron declaración anual y a ellas l
52	- Las personas que declaran tienen otras rentas: por un lado, tienen rentas vinculadas al 
52	Las primeras supusieron alrededor de 34.000 millones adicionales a la pensión, las segunda
53	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 51 NOTA INFORMATIVA 4: UNA PERSPECTIV
53	La estadística Mercado de Trabajo y Pensiones en las Fuentes Tributarias, publicada por la
53	La presentación es obligatoria para todos los pagadores de salarios, con la excepción de l
53	La declaración anual de retenciones incluye unas hojas de resumen de las retenciones reali
53	Junto con la identificación del perceptor de la renta, se detalla la renta pagada, la rete
53	En este contexto, son asalariados aquellos cuyas percepciones figuran en la declaración cl
53	Una vez identificados los asalariados3, a cada uno de ellos se le asigna el salario recibi
53	El salario se mide, en todo caso, en términos brutos, esto es, antes de realizar cualquier
53	Las distribuciones que se analizan en esta nota, que se publican junto con el Informe Anua
53	Hay que señalar que las distribuciones resultantes de las declaraciones fiscales no tienen
53	La razón por la que se produce esta acumulación en los tramos inferiores procede del hecho
53	Una consecuencia adicional es que el número de asalariados en las fuentes fiscales resulta
53	1 La publicación completa desde 1999 se puede consultar en: Agencia Tributaria: Mercado de
53	3 En la estadística solo están incluidos los asalariados con domicilio fiscal en el Territ
54	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 52 trabajando en el año. Asimismo, el
54	Una característica especialmente útil de esta estadística es la cobertura geográfica que o
54	De esta manera, se puede examinar la evolución en el tiempo de la distribución de asalaria
54	Así, a título de ejemplo, el siguiente gráfico muestra la evolución más reciente de la dis
54	De forma alternativa, se puede examinar la distribución para un año específico de las dist
54	Aunque este año no es el más reciente se considera más representativo desde una perspectiv
55	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 53 Gráfico 2: Distribución de asalari
55	Estos gráficos permiten apreciar las notables diferencias de tamaño a nivel territorial, r
55	Estas diferencias producen, a nivel general, una pauta marcadamente asimétrica, que se apr
55	Aunque el perfil dominante de las distribuciones de asalariados por CCyCC.AA. por grupos d
55	6 Este núcleo, contenido entre q1 y q3, abarca a la mitad de la distribución, pudiendo int
55	Para evitar la distorsión que produce la heterogeneidad de tamaño ya comentada, se trabaja
56	Atendiendo a la distancia de fusión a la que se van formando los grupos, se pueden conside
56	8 Las distribuciones porcentuales de Andalucía y Extremadura son muy similares, por lo que
57	Destacan, en primer lugar, las distribuciones de Andalucía y Canarias, la primera por su v
57	Adicionalmente, el tramo central de la Madrid es el más uniforme de todas y el que más se 
58	En los últimos años ha aumentado significativamente la información que ofrece la Agencia T
58	Esos mismos datos son los que se utilizan para la elaboración del índice de precios del al
58	Todo lo anterior se centra en las viviendas, pero la información fiscal alcanza también al
58	Este modelo es una declaración informativa que recoge la información sobre las rentas y la
58	El valor de la información del modelo 180 es mayor si se tiene en cuenta que, además de la
58	Combinando la información sobre la renta pagada con la superficie y situación del local, s
58	Para dar una idea de la riqueza de este modelo, a continuación, se muestran algunos result
58	El Gráfico 2 ilustra la evolución de las rentas del alquiler en el periodo analizado, dond
59	La evolución de las rentas tiene un perfil muy similar en todas las provincias, si bien la
59	El Gráfico 4 muestra cómo ha ido cambiando la importancia en el total de las rentas y en e
61	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 59 Como era de esperar, Barcelona y M
61	Como se ha dicho, a partir de la información del modelo 180 y de la información catastral,
61	De nuevo se observa que el indicador del precio del alquiler mantenía una clara tendencia 
61	Por último, el Gráfico 6 permite ver la evolución de este indicador para el total nacional
63	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 61 NOTA INFORMATIVA 6: LA EVOLUCIÓN D
63	En el Impuesto sobre Sociedades las empresas pueden generar créditos fiscales que les perm
63	Estos, además, bajo determinadas circunstancias, pueden ser convertibles, esto es, pueden 
63	Dado el impacto que esta conversión ha tenido en algunos momentos en la recaudación del Im
63	La normativa reguladora del Impuesto sobre Sociedades ha sido modificada9 en dos ocasiones
63	• Las dotaciones por deterioro de los créditos u otros activos derivadas de las posibles i
63	• Las dotaciones o aportaciones a sistemas de previsión social y, en su caso, prejubilació
63	Para que la citada conversión pueda tener lugar, debe darse alguna de las siguientes circu
63	Y debe solicitarse al presentar la autoliquidación del Impuesto sobre Sociedades correspon
63	La conversión de los anteriores AID en créditos exigibles determina, según lo regulado en 
63	Además, el artículo 130.5 establece que los AID anteriormente mencionados podrán canjearse
63	Este marco normativo vigente entró en vigor el 1 de enero de 2016, pero incorpora a través
63	9 Estas modificaciones se realizaron, en primer lugar, a través del Real Decreto-ley 14/20
64	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 62 establece determinadas particulari
64	• Activos generados a partir de 2016. La conversión se producirá por un importe igual a la
64	En caso de que el importe de la cuota líquida positiva sea superior al importe de los acti
64	Por tanto, el exceso de los activos por impuesto diferido que se hayan generado en un peri
64	• Activos generados entre 2008 y 2015. Los activos generados en este periodo tendrán derec
64	Si la diferencia entre el importe de todos los activos por impuesto diferidos generados en
64	ada en la Disposición adicional decimotercera de la LIS, que fue incorporada por la Ley 48
64	Esta prestación debe pagarse en todos los períodos en los que se registren los activos por
64	s a los períodos impositivos de esos años.  • Activos generados hasta 2007. Estos activos 
64	Desde el ejercicio 2016 las empresas deben proporcionar en su declaración anual del Impues
64	El Gráfico 1 muestra los saldos de AID pendientes de aplicación al final de cada ejercicio
64	Por ello, se ve cómo en determinados ejercicios los AID pendientes de aplicación generados
65	También se puede observar que los AID pendientes de aplicación correspondientes al periodo
65	Como se ve, un elevado porcentaje de ellos (entre el 85% y el 89%) están sujetos a la mism
65	En lo concerniente a los AID pendientes de aplicación generados a partir de 2016, y tal y 
65	Así, a finales del ejercicio 2023, el 45% de los mismos tenía derecho de
65	10 En el modelo 221 se declaran los saldos de los AID pendientes de aplicación al inicio d
65	Es por ello que no se incorpora dato para 2023, al no haberse presentado todavía el modelo
66	Un último elemento que resulta de interés son las solicitudes de conversión de los AID en 
66	En todo caso, estas solicitudes representan un porcentaje muy pequeño de los AID pendiente
66	Como se puede observar, se han pagado casi todas las solicitudes, debiéndose las diferenci
67	En el gráfico anterior los importes pagados están asignados al año al que corresponde la d
67	Como se menciona en los informes de recaudación, en algunas ocasiones dicho impacto es sig
67	Por último, hay que señalar que la existencia de estos AID con derecho a conversión no gen
67	El Gráfico 6 contiene los ingresos obtenidos por esta figura desde 2017, primer año en el 
68	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 66 NOTA INFORMATIVA 7: ELABORACIÓN DE
68	En un contexto de aumentos significativos de los precios es habitual asociar los increment
68	Aun con todas esas precauciones, se podría pensar que el IPC serviría para ver, al menos, 
68	En caso contrario, es preciso elaborar un deflactor distinto del IPC.
68	Para ver de forma sencilla estas últimas afirmaciones se van a presentar dos ejemplos simp
68	En la parte superior del cuadro figura el caso en el que hay estabilidad normativa. En tal
68	En esa situación se comprueba que utilizar sin más el aumento de los precios para deflacta
68	En el segundo ejemplo se trata de ver la importancia de tener en cuenta tanto los distinto
68	El ejemplo consiste en dos productos, uno a tipo del 4% y otro al 21%, en el primer caso c
69	Como se puede ver, el crecimiento medio de los precios fue del 30%; sin embargo, el aument
69	De hecho, el 16,4% también se podría obtener calculando el crecimiento medio de los precio
69	Esto demuestra de nuevo que, si se utiliza la variación media de los precios para deflacta
69	De toda la reflexión anterior se concluye que lo más correcto es utilizar un deflactor que
69	Este gasto se divide, fundamentalmente, en tres componentes: Gasto en bienes y servicios d
69	Como ilustración, en el Gráfico 1 se puede apreciar cómo han ido evolucionando los pesos d
70	Para el Gasto en bienes y servicios de los hogares se utiliza el IPC al nivel máximo de de
70	Para la desagregación de este componente del IVA ligado al consumo de los hogares se utili
70	Los datos descienden hasta el nivel de subgrupo en términos generales, aunque para aliment
70	Esta parte del gasto en consumo no sujeto a IVA ha mostrado una tendencia creciente a lo l
70	De esta forma, se obtiene una estructura del gasto en consumo sujeto a IVA, para cada año,
70	La última fase para obtener el deflactor para esta parte de la recaudación consiste en ext
71	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 69 desagregación con el que se está t
71	Los índices de precios obtenidos de esta forma serían los eslabones anuales que se podrían
71	Para deflactar la parte de los ingresos correspondiente al Gasto en compra de vivienda de 
71	El proceso descrito en el párrafo anterior se simplifica de forma considerable al tratarse
71	Finalmente, para la recaudación debida al Gasto de las AA.PP. el deflactor se ha aproximad
71	Para cada uno de ellos, se obtiene un deflactor y se sintetiza utilizando sus pesos sobre 
71	En el caso de las adquisiciones de bienes y servicios en el mercado para distribuirlas com
71	Una vez obtenido el deflactor para cada una de las partes, se obtiene un deflactor sintéti
71	Como se puede apreciar, la diferencia del deflactor del IVA respecto al IPC general aument
71	Además, desde mediados de 2022 este tipo se redujo aún más (al 5%) y se sumaron a la bajad
71	Este hecho, junto con la rebaja desde enero de 2023 al 0% de algunos productos alimenticio
71	En 2024, sin embargo, la paulatina vuelta a los tipos que gravan los productos energéticos
72	El impacto de la catástrofe provocada por la dana sobre la evolución de las cifras económi
72	Inmediatamente se sucedieron en los medios de comunicación las primeras evaluaciones del e
72	Lo cierto es que cualquier evaluación económica de un impacto no puede ser más que una apr
72	Con la información diaria disponible a través del Sistema Inmediato de Información (SII), 
72	El impacto de la catástrofe se aprecia claramente con la separación de las dos líneas desd
72	El gráfico está realizado con la información disponible pasados varios meses, pero la idea
72	La evolución de las ventas se pudo seguir, además, con un nivel de desglose que permitía v
73	En el gráfico se comparan las evoluciones en las primeras semanas después de las inundacio
73	dana (rojo).  ¿Es el impacto sobre las ventas interiores simplemente el descenso de las ve
73	Es en ese punto donde entra en juego la discrecionalidad de los analistas.  El mismo probl
74	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 72
74	En el gráfico se representa la diferencia en las ventas en los mismos días de 2024 y 2023,
74	La respuesta es la misma, habría que suponer una situación alternativa sin impacto con la 
74	Como se ha señalado, la situación es más compleja aún si se quiere evaluar el impacto en e
74	Respecto a lo primero, en noviembre los principales modelos que se deberían haber presenta
74	Solo este último tuvo un impacto inmediato en la recaudación de noviembre por su traslado,
74	Los modelos de retenciones e IVA que tenían que presentar las pymes son de periodicidad tr
74	En cuanto a las medidas con repercusión en los ingresos, hay que tener en cuenta que la ma
74	En el caso del segundo plazo de la cuota positiva del IRPF, la menor recaudación de octubr
74	Y lo mismo sucedió con otros casos, como el tercer pago fraccionado del Impuesto sobre Soc
75	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 73 NOTA INFORMATIVA 9: LOS ARANCELES 
75	Los ingresos por aranceles se denominan, en términos de la contabilidad tributaria, ingres
75	La evolución de estos ingresos desde 1995 es la siguiente:  Como se puede ver, el importe 
75	Los impuestos giran sobre las importaciones procedentes de los países que no pertenecen a 
75	Se puede hacer una aproximación al tipo medio  INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 202
76	Por último, hay que señalar que, a efectos de la Contabilidad Nacional, estos ingresos no 
76	En las cuentas nacionales los ingresos se pueden encontrar en los recursos del sector inst
76	y se registra como un ingreso de la producción no de mercado (operación P.131).  INFORME A
77	IT = BI * RD/BI * IT/RD,  donde BI es la base imponible del impuesto, RD es la recaudación
77	Primero se produce una corriente de bienes, servicios, rentas, etc., sujetos a tributación
77	Esta identidad sintetiza el método de análisis utilizado tanto en su información numérica 
77	Bases imponibles  La fuente básica de información de las bases imponibles son las estadíst
77	Los datos de los años para los que todavía no se han publicado las estadísticas correspond
77	Las cifras de demografía que figuran en cuadros del informe proceden también en su mayor p
77	Dichas cifras pueden diferir en algún caso de las contenidas en la Memoria de la Agencia T
77	El sistema supone que los contribuyentes obligados a declarar según la normativa de cada u
77	calcula a partir de datos económicos y personales declarados.
77	Los impuestos devengados se calculan básicamente por agregación de esos modelos de declara
77	Los impuestos devengados netos son el resultado de restar a los impuestos brutos los impor
78	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 76 Los datos de las declaraciones–aut
78	Estos modelos sirven, por ejemplo, para asignar entre las distintas figuras impositivas (I
78	Por definición los impuestos devengados son consistentes con las bases imponibles (rentas,
78	Los impuestos devengados están sujetos a cambios incluso años después de haberse cerrado e
78	Por ello las cifras de los impuestos devengados que figuran en el informe en los dos últim
78	Los ingresos tributarios son ingresos en términos de caja y se expresan, salvo indicación 
78	Las cifras son comparables a las que se recogen en la Memoria de la Administración Tributa
78	Existe una equivalencia entre las autoliquidaciones que están detrás de los impuestos deve
78	Por su parte, el Sistema de Información Contable asocia cada modelo o grupo de modelos a u
78	Esta equivalencia entre modelos de declaración y conceptos presupuestarios permite asociar
78	Aun así, pueden existir diferencias en los criterios de clasificación de los flujos recaud
78	Un ejemplo de estas diferencias es la asignación de las retenciones de capital mobiliario,
78	ente se realiza con porcentajes fijos entre las distintas figuras.  En 2017 y 2018 los ing
78	Con el fin de obtener series homogéneas en el tiempo que permitan medir adecuadamente el c
78	La corrección se realiza en términos anuales, lo que puede ocasionar que se produzcan pequ
78	El análisis de los ingresos en este informe se realiza en términos totales, es decir, ante
78	Esta participación se hace efectiva en cada uno de los años a través, básicamente, de entr
79	INFORME ANUAL DE RECAUDACIÓN TRIBUTARIA 2024. Página 77 como los ingresos del Estado una v
79	El ámbito presupuestario de los ingresos tributarios analizados en el informe abarca el Ca
79	Una visión completa de los ingresos no financieros del Estado, incluyendo los ingresos no 
79	Junto al informe también se presentan cuadros de los ingresos tributarios en términos de d
79	También se atienen a la Instrucción de Contabilidad citada anteriormente.  Ingresos tribut
79	Dado que la asignación de los contribuyentes por Delegaciones se hace de acuerdo a su domi
79	Tampoco la variación anual de los ingresos tributarios gestionados por una Delegación es u
79	A las perturbaciones que pueden afectar a los ingresos en el conjunto del territorio se un
79	Además, en algunas figuras tributarias, como los Impuestos Especiales, los ingresos pueden
